alpha,seed,T,d,r,beta,lambda_reg,covariance_type,rho,length_scale,eta,mask_value,n_steps,learning_rate,n_population_config,n_train,n_population,train_loss,population_risk,bayes_population_risk,empirical_bayes_risk,weight_norm,trace_s,top_eigenvalue,R1
3.0,0,4,50,50,1.0,0.0,tridiagonal,0.2,,,1.0,500,0.001,5000,7500,5000,1.1319489417978232,1.1323880110900066,0.9382971014492754,0.9369907658143732,2.2320613326376257,2.2320613326376253,0.3141669786728757,0.140751947125765
5.0,0,4,50,50,1.0,0.0,tridiagonal,0.2,,,1.0,500,0.001,5000,12500,5000,1.1334049599444656,1.137625995957642,0.9382971014492754,0.9374945137248272,2.013315946199271,2.013315946199271,0.2706361893236993,0.1344231092167154
0.5,0,6,50,50,1.0,0.0,tridiagonal,0.2,,,1.0,500,0.001,5000,1250,5000,1.0948725658371696,1.094187249473182,0.9310364973015884,0.9323712598624788,3.125607655441547,3.1256076554415477,0.8018486008614607,0.2565416678147293
1.0,0,6,50,50,1.0,0.0,tridiagonal,0.2,,,1.0,500,0.001,5000,2500,5000,1.09392793221017,1.0911092916271998,0.9310364973015884,0.9304208606940422,2.34169468641814,2.3416946864181405,0.4431100222077704,0.1892262150048057
2.0,0,6,50,50,1.0,0.0,tridiagonal,0.2,,,1.0,500,0.001,5000,5000,5000,1.0896218059953175,1.0882606850283283,0.9310364973015884,0.9264067811593232,1.7948942366664218,1.794894236666422,0.4768065568779093,0.2656460459550313
3.0,0,6,50,50,1.0,0.0,tridiagonal,0.2,,,1.0,500,0.001,5000,7500,5000,1.0913856232336958,1.0899716537921114,0.9310364973015884,0.929929682642654,1.57341498690475,1.5734149869047502,0.4349354979865805,0.2764277076336951
5.0,0,6,50,50,1.0,0.0,tridiagonal,0.2,,,1.0,500,0.001,5000,12500,5000,1.0914913958291297,1.0901422051715388,0.9310364973015884,0.9291519955213752,1.4922794962373342,1.4922794962373345,0.3236297567294016,0.2168693984909721
0.5,0,4,50,50,1.0,0.0,tridiagonal,0.5,,,1.0,500,0.001,5000,1250,5000,0.9470984116215068,0.9653728207902106,0.5208333333333334,0.522889729157922,7.281622069943782,7.281622069943778,1.4591531656582637,0.2003884782322313
1.0,0,4,50,50,1.0,0.0,tridiagonal,0.5,,,1.0,500,0.001,5000,2500,5000,0.954962417799346,0.9583096177446548,0.5208333333333334,0.5198185546926212,6.287300009215775,6.287300009215777,1.005762753698041,0.159967355180096
2.0,0,4,50,50,1.0,0.0,tridiagonal,0.5,,,1.0,500,0.001,5000,5000,5000,0.9591368072167022,0.9564342328975208,0.5208333333333334,0.5203553308622908,5.194533367618569,5.194533367618569,0.5963289350807575,0.1147993270768311
